ticker,annouced,div_total,div_per_share
21,19970614,1460.400414,0.055
21,19980617,5700.341107,0.10734
21,19990504,12831.94973,0.2276
21,20000606,2088.856488,0.0285
21,20010517,2931.728404,0.04
21,20020705,3518.074085,0.048
21,20030711,5863.456808,0.08
21,20040625,5863.456808,0.08
21,20050615,9894.583364,0.135
21,20060609,8428.719162,0.115
21,20070611,31662.66676,0.36
21,20080606,31662.66676,0.36
21,20090618,11873.50003,0.135
21,20100603,14072.29634,0.16
21,20110610,17810.25004,0.135
21,20120615,11873.50003,0.09
21,20130607,2506.627784,0.019
21,20140612,6988.481974,0.0475
21,20150612,6988.481974,0.0475
21,20160608,7356.296815,0.05
21,20170615,7356.296815,0.05
21,20180621,7356.296815,0.05
21,20190620,14712.59363,0.1
21,20200611,8827.556178,0.06
23,NaN,NaN,0
23,NaN,NaN,0
23,NaN,NaN,0
23,NaN,NaN,0
23,19940520,0,0
23,19950801,0,0
23,19960810,0,0
23,19980701,153.292608,0.01334
23,19990806,665.5013568,0.05036
23,20000704,621.6279552,0.0448
23,20010818,561.6852595,0.04048
23,20070614,124.880616,0.009
23,20080801,1450.557733,0.10454
23,20090818,1368.691551,0.09864
23,20100730,560.7139658,0.04041
23,20120810,374.641848,0.027
23,20130530,395.455284,0.0285
23,20140801,527.273712,0.038
23,20150806,527.273712,0.038
23,20160809,693.7812,0.05
23,20170808,555.02496,0.04
23,20180810,693.7812,0.05
23,20190809,832.53744,0.06
23,20200717,138.75624,0.01
24,19940616,0,0
24,19950720,0,0
24,19960619,5072.76,0.183
24,19980818,5597.83224,0.15534
24,19990609,2706.3036,0.0751
24,20000812,3811.168,0.08
24,20010628,4954.5184,0.104
24,20020725,4192.2848,0.088
24,20030611,4573.4016,0.096
24,20040518,2062.74224,0.04
24,20050429,7425.872064,0.12
24,20060413,1113.88081,0.018
24,20070528,13922.78233,0.18965
24,20080416,5069.202012,0.06
24,20090608,15455.70453,0.09
24,20100706,15455.70453,0.09
24,20110527,18546.84543,0.108
24,20120517,30911.40905,0.18
24,20130516,48943.06434,0.285
24,20140530,78308.90294,0.456
24,20150515,78308.90292,0.304
25,NaN,0,0
25,NaN,NaN,0
25,NaN,NaN,0
25,NaN,NaN,0
25,19940505,0,0
25,19950630,0,0
25,20190509,0,0
25,20200520,1810.444944,0.042
26,NaN,0,0
26,NaN,NaN,0
26,NaN,NaN,0
26,NaN,NaN,0
26,19940621,0,0
26,19951222,0,0
26,19960615,1846.8,0.16
26,19970707,1315.845,0.095
26,19971231,0,0
26,19980818,2276.273331,0.0913
26,19990802,3777.666321,0.15152
26,20000718,1994.543992,0.08
26,20020713,997.271996,0.04
26,20080621,2243.861991,0.09
26,20090707,2243.861991,0.09
26,20100727,2243.861991,0.09
26,20110420,2524.936311,0.09
26,20120525,3534.91083,0.09
26,20130807,3731.294765,0.095
26,20140724,3731.294765,0.095
26,20150730,3731.294765,0.095
26,20160618,4387.44881,0.1
26,20170616,4387.44881,0.1
26,20180721,8774.89762,0.2
26,20190806,8774.90319,0.200813
26,20200620,8563.43762,0.2
27,NaN,0,0
27,NaN,NaN,0
27,NaN,NaN,0
27,NaN,NaN,0
27,19940616,0,0
27,19950729,0,0
27,19960802,5496.6912,0.14196
27,19970725,3941.060647,0.08694
27,19971029,0,0
27,19990609,7978.222613,0.088
27,20000727,15956.44523,0.176
27,20020724,20041.58888,0.2
27,20030829,14429.94398,0.12
27,20040702,28859.88797,0.24
27,20050630,32467.37396,0.27
27,20060629,54112.28994,0.45
27,20070709,37878.60296,0.315
27,20080718,71360.84876,0.324
27,20090709,19822.45799,0.09
27,20100706,59467.37396,0.27
27,20110609,19822.45799,0.09
27,20120607,23786.94958,0.09
27,20130524,25108.44678,0.095
27,20140516,62771.11695,0.2375
27,20150617,43609.40757,0.165
27,20160622,79289.83194,0.2
27,20170622,59467.37396,0.15
27,20180614,31715.93278,0.08
27,20190606,19822.45799,0.05
27,20200604,19822.45799,0.05
28,NaN,NaN,0
28,NaN,NaN,0
28,NaN,0,0
28,NaN,NaN,0
28,19940820,0,0
28,19950819,0,0
28,19960704,0,0
28,19961107,0,0
28,19970721,1750.347522,0.10934
28,20000902,0,0
28,20060706,985.470948,0.0342
28,20070704,2334.01014,0.081
28,20090604,2593.3446,0.09
28,20100605,2593.3446,0.09
28,20110609,3112.01352,0.108
28,20120613,3371.34798,0.117
28,20130530,4927.35474,0.171
28,20140522,6201.006225,0.171
28,20150516,6890.006917,0.19
28,20160524,10878.95829,0.3
28,20170614,14128.19044,0.33
28,20180606,12843.80949,0.3
28,20190611,17125.07932,0.4
28,20200610,25687.61898,0.6
29,NaN,NaN,0
29,NaN,NaN,0
29,NaN,NaN,0
29,NaN,0,0
29,19940608,0,0
29,19950717,0,0
29,19960808,18412.212,0.182
29,20151103,13151.58,0.13
29,20190514,20233.2,0.2
29,20200514,16692.39,0.165
30,NaN,NaN,0
30,NaN,NaN,0
30,NaN,NaN,0
30,NaN,0,0
30,19940610,0,0
30,19951206,0,0
30,20140624,12285.88933,0.095
30,20150619,12285.88933,0.095
30,20160622,19398.77262,0.15
30,20170621,25865.03016,0.2
30,20180719,25865.03016,0.2
30,20190620,26257.6538,0.15
30,20200609,29607.93245,0.17
31,NaN,NaN,0
31,NaN,NaN,0
31,NaN,NaN,0
31,NaN,NaN,0
31,19940524,0,0
31,19950721,0,0
31,19960617,0,0
31,19970714,1452.62517,0.03894
31,19990810,3336.859309,0.07156
31,20030625,2238.25141,0.048
31,20040810,7460.838032,0.16
31,20060209,4196.721393,0.09
31,20060511,0,0
31,20080717,453.432899,0.005
31,20090710,3264.716873,0.018
31,20100512,3264.716873,0.018
31,20110720,3264.716873,0.018
31,20120612,4897.075309,0.027
31,20130624,5169.135049,0.0285
31,20140626,5169.135049,0.0285
31,20150619,6030.657557,0.03325
31,20160723,7254.926384,0.04
31,20170524,7254.926384,0.04
31,20180704,9975.523778,0.055
31,20190510,43184.57372,0.11
31,20200711,72867.32676,0.17
32,NaN,NaN,0
32,NaN,NaN,0
32,NaN,NaN,0
32,NaN,NaN,0
32,19940517,0,0
32,19950809,0,0
32,19960823,0,0
32,19970815,0,0
32,19980822,0,0
32,20000721,837.1968,0.064
32,20010615,1046.496,0.08
32,20020620,1046.496,0.08
32,20030606,2388.352,0.16
32,20040803,1862.91456,0.096
32,20050706,1397.18592,0.072
32,20060623,1921.13064,0.099
32,20070516,2619.7236,0.135
32,20080619,2095.77888,0.108
32,20090611,3562.824096,0.153
32,20100609,2095.77888,0.09
32,20110610,1676.623104,0.072
32,20130802,3981.979872,0.171
32,20140721,663.663312,0.0285
32,20150521,1106.10552,0.0475
32,20160607,703.75689,0.02
32,20170516,844.508268,0.02
32,20180707,844.508268,0.02
32,20190529,3305.757288,0.08
32,20200528,3305.757288,0.08
33,19940715,0,0
33,19950615,0,0
33,19960731,0,0
33,20060411,0,0
33,20160409,0,0
34,NaN,NaN,0
34,NaN,NaN,0
34,NaN,NaN,0
34,NaN,0,0
34,19951207,0,0
34,19960709,0,0
34,19961021,0,0
34,20080710,0,0
34,20180428,2485.467649,0.038
34,20190418,16433.67443,0.253
34,20200424,13724.07433,0.21
34,20210424,12237.87956,0.189158
35,NaN,NaN,0
35,NaN,NaN,0
35,NaN,NaN,0
35,NaN,NaN,0
35,NaN,NaN,0
35,NaN,NaN,0
35,19951012,0,0
35,20070112,0,0
35,20121128,0,0
35,20160521,0,0
36,NaN,NaN,0
36,NaN,NaN,0
36,NaN,NaN,0
36,NaN,0,0
36,19950719,0,0
36,19960710,0,0
36,19970628,0,0
36,20000928,0,0
36,20010816,2876.44068,0.08
36,20050722,2022.997883,0.045
36,20060323,0,0
36,20170712,34244.63136,0.3
36,20180621,57074.3856,0.5
36,20190624,68489.26272,0.6
36,20200702,59357.361,0.4
37,NaN,NaN,0
37,NaN,NaN,0
37,NaN,NaN,0
37,NaN,NaN,0
37,NaN,NaN,0
37,19950713,0,0
37,19960722,3286.8,0.166
37,19970725,5049,0.255
37,19971126,0,0
37,19980627,6764.472,0.1898
37,19990709,5025.24,0.141
37,20000608,8309.8224,0.23316
37,20010426,327.612676,0.00886
37,20020617,13589.55675,0.248
37,20030701,18411.65753,0.336
37,20040602,20515.84697,0.3744
37,20050517,21918.63992,0.4
37,20080626,931.5421966,0.017
37,20200507,1205.525192,0.02
38,NaN,0,0
38,NaN,NaN,0
38,NaN,NaN,0
38,NaN,NaN,0
38,NaN,NaN,0
38,NaN,NaN,0
38,NaN,NaN,0
38,19950923,0,0
38,19960720,971.28,0.142
38,19970902,0,0
38,19980604,0,0
38,20090430,0,0
38,20170630,3267.35887,0.1
38,20180515,20911.09676,0.4
39,NaN,NaN,0
39,NaN,0,0
39,NaN,NaN,0
39,NaN,NaN,0
39,19950721,0,0
39,19960604,0,0
39,19970613,703.43,0.035
39,19980623,7153.50762,0.2313
39,19990722,5698.373417,0.1675
39,20000713,5443.222368,0.16
39,20010712,5443.222368,0.16
39,20020605,10206.04194,0.3
39,20040526,19161.18372,0.304
39,20050418,40339.33412,0.4
39,20060713,68980.26135,0.342
39,20070525,85862.27265,0.387
39,20080619,119807.8223,0.45
39,20090605,35942.34669,0.135
39,20100617,28753.87735,0.108
39,20110525,83865.47561,0.315
39,20120614,110223.1965,0.414
39,20130809,58173.35371,0.2185
39,20140724,68346.69762,0.2565
39,20150715,79134.65372,0.2945
39,20160713,65523.90649,0.22
39,20170712,17882.23672,0.06
39,20180713,80593.90207,0.27
39,20190622,164199.323,0.55
39,20200617,43032.89762,0.12
40,NaN,NaN,0
40,NaN,NaN,0
40,NaN,NaN,0
40,NaN,NaN,0
40,NaN,NaN,0
40,19951023,0,0
40,19960712,0,0
40,19980717,2083.605636,0.1033
40,19990804,271.4249644,0.01156
40,20120727,1267.902083,0.027
40,20130615,1784.454783,0.038
40,20140612,892.2273916,0.019
40,20150818,892.2273916,0.019
40,20160421,469.593364,0.01
40,20170505,1872.042581,0.014
40,20180518,5482.410415,0.041
40,20190711,11151.55403,0.075
42,NaN,NaN,0
42,NaN,0,0
42,NaN,NaN,0
42,NaN,NaN,0
42,19950603,0,0
42,19960710,4332.285,0.405
42,19970626,0,0
42,19980806,6975.558355,0.2913
42,19990731,3244.724192,0.1355
42,20000803,2873.55648,0.12
42,20010813,2873.55648,0.12
42,20020614,2490.415616,0.104
42,20030812,1532.563456,0.064
