Date,CI005001.WI,CI005002.WI,CI005003.WI,CI005004.WI,CI005005.WI,CI005006.WI,CI005007.WI,CI005008.WI,CI005009.WI,CI005010.WI,CI005011.WI,CI005012.WI,CI005013.WI,CI005014.WI,CI005015.WI,CI005016.WI,CI005017.WI,CI005018.WI,CI005019.WI,CI005020.WI,CI005021.WI,CI005022.WI,CI005023.WI,CI005024.WI,CI005025.WI,CI005026.WI,CI005027.WI,CI005028.WI,CI005029.WI,CI005030.WI
2005-04-04,904.2070,948.8653,962.2294,918.0055,975.4453,992.2757,896.5880,891.0562,868.5273,988.6037,859.8971,953.8346,914.7477,947.4366,964.9195,912.0292,890.0632,938.9429,1039.3233,904.3930,976.0097,853.1877,954.1051,1012.8771,959.7862,900.6627,837.0139,886.4023,848.0362,
2005-04-05,899.6858,951.5127,962.4318,906.9693,957.8186,983.9107,887.6416,879.4252,856.3174,983.8027,842.8814,945.4644,906.0637,943.9076,977.1307,900.2162,881.4518,934.3665,1033.7565,894.4678,978.7764,839.8414,950.6399,1011.6906,958.1234,893.2156,826.3651,869.9226,842.3984,
2005-04-06,922.1997,983.7143,988.6318,932.5205,950.8621,1013.4852,905.3288,891.7234,855.3801,1009.6810,858.9184,953.7726,923.4200,962.4963,991.7098,898.2500,888.8384,949.3246,1051.5044,898.7856,1000.7729,860.7835,965.6011,1043.8391,949.5797,902.0929,829.4275,865.9278,854.8844,
2005-04-07,921.1787,978.2451,996.2549,935.9608,955.8704,1024.9698,919.1970,908.0216,872.5512,1022.8760,874.7094,971.7718,942.2835,973.5179,1001.1455,917.4762,905.0579,966.0565,1065.9932,915.9229,1037.4746,885.9474,983.8253,1044.8946,960.6497,910.3310,844.3810,894.5465,869.8031,
2005-04-08,936.2762,1006.5503,1018.6342,952.2288,964.2968,1045.5281,935.2769,923.5136,893.0058,1039.5196,890.9867,985.5244,961.9325,988.9761,1018.4839,937.2224,921.9189,981.9649,1082.6546,931.4806,1071.0076,894.5386,997.7637,1059.8297,972.0110,915.3524,858.0387,913.0577,888.5122,
2005-04-11,926.7812,992.3259,1015.6408,944.9520,955.8925,1042.2072,930.3762,929.8350,902.4529,1022.2166,896.8346,983.4223,957.2415,978.7441,1007.7554,944.1088,923.9161,981.7231,1074.7383,929.7996,1066.0860,882.6931,991.1611,1043.0727,979.8376,912.0683,874.9060,918.1327,895.1549,
2005-04-12,909.2185,978.3182,997.4674,928.1927,950.1491,1023.5395,908.4171,912.8443,881.5610,1009.3343,870.7214,957.9078,937.4483,962.4144,985.6622,928.5057,900.5684,966.1757,1061.0642,907.0929,1044.1746,851.9064,972.3682,1031.2753,950.8056,890.3959,840.8558,897.8193,871.3326,
2005-04-13,930.0231,999.3721,1024.6827,949.7199,971.3622,1045.3379,937.4126,934.3492,910.8848,1028.6953,894.7394,980.9851,964.3402,987.3523,1009.5874,963.3272,922.9172,985.3564,1074.5769,934.7377,1065.9951,911.5353,995.6635,1045.5626,978.7100,907.1727,860.4476,916.8050,890.2817,
2005-04-14,924.8372,982.2752,1003.6163,938.3227,967.7107,1032.9227,922.0228,919.5020,898.6396,1019.6306,878.1304,974.4682,954.8895,973.8890,998.2953,949.6480,907.5301,974.4800,1061.8542,915.5760,1041.4575,899.4975,978.1346,1034.8194,964.1760,886.1999,840.3862,890.3559,869.6355,
2005-04-15,908.1179,966.6441,985.2643,923.8741,955.4208,1017.8576,902.6219,892.2649,885.0998,1011.3966,855.3801,954.4372,931.6552,952.2498,998.0290,930.1512,891.2967,955.3369,1047.1013,901.5177,1036.5791,870.3112,958.8936,1026.0120,948.1213,868.4794,810.6407,867.9671,845.1011,
