ticker,industry,included,excluded
000548.SZ,6225,19931220,19990423
000548.SZ,6220,19990424,null
000549.SZ,6225,19931220,20070427
000550.SZ,6225,19931201,null
000551.SZ,6220,19940106,20000826
000551.SZ,6220,20000827,null
000552.SZ,6225,19940106,20050804
000552.SZ,6210,20050805,null
000553.SZ,6215,19931203,null
000554.SZ,6210,19931215,null
000555.SZ,6215,19940408,20010813
000555.SZ,6245,20010814,20140101
000555.SZ,6245,20140102,null
000556.SZ,6220,19940525,null
000557.SZ,6230,19940617,20170406
000557.SZ,6220,20170407,null
000558.SZ,6240,19940509,20150817
000558.SZ,6225,20150818,null
000559.SZ,6225,19940110,null
000560.SZ,6225,19940202,20180427
000560.SZ,6260,20180428,null
000561.SZ,6225,19940509,20100311
000561.SZ,6245,20100312,null
000562.SZ,6240,19940202,20150126
000563.SZ,6240,19940110,20060821
000563.SZ,6240,20060822,null
000564.SZ,6225,19940110,null
000565.SZ,6215,19940408,null
000566.SZ,6235,19940525,null
000567.SZ,6215,19940525,20030429
000567.SZ,6235,20030430,20060408
000567.SZ,6240,20060409,20170301
000567.SZ,6260,20170302,20180427
000567.SZ,6240,20180428,null
000568.SZ,6230,19940509,null
000569.SZ,6215,19940425,20090506
000570.SZ,6220,19940701,null
000571.SZ,6225,19940525,20080318
000571.SZ,6220,20080319,20090815
000571.SZ,6210,20090816,20171126
000571.SZ,6220,20171127,null
000572.SZ,6240,19940808,20050820
000572.SZ,6225,20050821,20070721
000572.SZ,6225,20070722,null
000573.SZ,6240,19940815,20170301
000573.SZ,6260,20170302,null
000576.SZ,6230,19940907,20100817
000576.SZ,6220,20100818,20120719
000576.SZ,6215,20120720,20180817
000576.SZ,6230,20180818,null
000578.SZ,6225,19950303,20010324
000578.SZ,6245,20010325,20080306
000578.SZ,6215,20080307,20110322
000581.SZ,6225,19950911,null
000582.SZ,6220,19951102,null
000583.SZ,6220,19951101,19990320
000583.SZ,6245,19990321,null
000584.SZ,6225,19951128,20040422
000584.SZ,6215,20040423,20170823
000584.SZ,6220,20170824,null
000585.SZ,6220,19951213,20190829
000585.SZ,6225,20190830,20200828
000585.SZ,6220,20200829,null
000586.SZ,6220,19951220,20030826
000586.SZ,6245,20030827,null
000587.SZ,6225,19960425,20111215
000587.SZ,6225,20111216,null
000588.SZ,6230,19960123,null
000589.SZ,6225,19960308,null
000590.SZ,6235,19960119,20070428
000590.SZ,6235,20070429,null
000591.SZ,6235,19960208,20110106
000591.SZ,6230,20110107,20151129
000591.SZ,6255,20151130,null
000592.SZ,6240,19960327,20080123
000592.SZ,6215,20080124,null
000593.SZ,6225,19960312,20040417
000593.SZ,6235,20040418,20070426
000593.SZ,6220,20070427,20120719
000593.SZ,6225,20120720,20170427
000593.SZ,6255,20170428,null
000594.SZ,6215,19960320,20070825
000594.SZ,6220,20070826,20080806
000594.SZ,6240,20080807,20100428
