,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Communication Services,Utilities,Real Estate
2014-07-01,5.588014454620547,0.7986450364503069,0.897431131124167,1.0928401801612528,1.2811416261650657,1.3891674423459761,4.876276035429282,0.23435048910343192,0.0,2.7505236680109526,
2014-10-08,4.9962182409341755,0.7820752261641472,0.7642610090971432,1.1020976910018079,1.3613247440760263,1.4013681860734624,4.648926942820211,0.24949088952587736,0.0,2.877436428340599,
2015-01-05,0.0,0.042336430948632056,0.05721476230131335,0.022413866748023807,0.0,0.0,0.18408290014359333,0.018554614968373594,0.0,0.0,
2015-04-01,10.447294075827365,0.9166839400417163,0.6371398812248454,1.3667010085328686,8.35132974693165,1.7911182518093287,3.5713155900517957,0.08919825769168574,0.0,1.8231655301876046,
2015-07-01,8.589753034256054,1.2296995075205601,0.8461332349012747,0.7809096456400448,8.55473450109274,1.7588106512646229,3.3238202645413635,0.043569238799467454,0.0,1.840424195484939,
2015-10-08,8.90461372935526,1.0554450495781034,0.7832875054599261,1.107022238179064,8.011694450504333,1.6014227527892713,2.560316590252124,0.0271464309653412,0.0,1.869806948503628,
2016-01-04,0.004043639543595468,0.01847726466314098,0.2656562581389552,0.03847102822595694,0.04475833143221276,0.29756686833567175,0.05265385762584791,0.0021912609155340973,0.0,0.05852660773525798,
2016-04-01,2.502305954930588,0.4915885169512437,1.1042427085184803,1.2925660575224307,1.5018840115187502,1.2300206208163111,3.6394275861113345,0.05794135905300659,0.0,4.310839210473266,
2016-07-01,2.7716799834890886,0.4979969275411498,1.1300684296659427,1.5093581502026814,1.3365721220874989,1.2522804337580693,3.923189912072347,0.09277088302232643,0.0,5.170054603402791,
2016-10-10,2.8032147363195783,0.49427235661431923,0.9606707684057718,1.624692133062091,1.3255851396589733,1.221064895919663,3.882618011357201,0.08758262013861055,0.0,5.1516108522124435,
2017-01-03,0.06674821361096389,0.08786327432780933,0.08241170092008024,0.18469542186010485,0.3065669385565421,0.15496076471202402,0.043289665677164774,0.05648558615049468,0.0,0.0,
2017-04-05,45.25568833993847,0.48974491991410385,1.4220061409055642,0.6267235244377819,10.843269715365782,3.1550005345814816,12.042108841962047,0.15217491851861334,2.6013946202402014,6.348834626355146,1.1939758119033632
2017-07-03,51.85152126507457,0.508463241899668,1.5312004950882312,0.5678898199694555,9.524516879009472,2.7609071572795503,12.800014893971046,0.15542518153026016,2.7661886663300193,6.961149607818951,1.0981717396839585
2017-10-09,47.617689594087885,0.43532017334682815,1.4405010640836369,0.5614615040326243,8.882734235767723,2.4934474651002363,12.79800709744308,0.2519044205063755,2.6855697794774227,7.159145033868088,1.009250344559806
2018-01-02,0.0022317784372043164,0.1917259021094069,0.06425549076390655,0.029788792876960284,0.0044465801326184,0.000677100010198627,0.009576287516799595,0.009186895967852616,0.0,0.07539592502848498,0.0031182892860522433
