date,CSI 300,Small Cap,CSI 300 Chg,Small Cap Chg,AR
2012-12-07,63.553432167072586,75.89115370000006,1.9586,2.1975,119.28139999999996
2012-12-10,64.24051617575095,77.17548529999992,1.0811,1.6923,119.89259999999996
2012-12-11,63.88551805681667,76.60286160000004,-0.5526,-0.742,119.70319999999997
2012-12-12,64.14773579088207,76.61315579999993,0.4104,0.0134,119.30619999999996
2012-12-13,63.4368909519324,75.61607010000002,-1.1081,-1.3015,119.11279999999996
2012-12-14,66.63951143207089,78.36841300000003,5.0485,3.6399,117.70419999999996
2012-12-17,66.94613928938145,78.93595989999994,0.4601,0.7242,117.96829999999997
2012-12-18,66.98630640722104,78.7518001,0.06,-0.2333,117.67499999999997
2012-12-19,67.07088364830577,79.02078890000003,0.1263,0.3416,117.89029999999997
2012-12-20,67.4586943423766,79.14411719999997,0.5782,0.1561,117.46819999999997
2012-12-21,67.09605881371226,79.09361940000004,-0.5376,-0.0638,117.94199999999996
2012-12-24,67.35686221264245,79.54089609999998,0.3887,0.5655,118.11879999999996
2012-12-25,69.25688003326516,81.13669130000008,2.8208,2.0063,117.30429999999997
2012-12-26,69.5179662992224,82.29379480000007,0.377,1.4261,118.35339999999997
2012-12-27,69.14939056299025,81.4817052,-0.5302,-0.9868,117.89679999999996
2012-12-28,70.15243704087146,82.30768360000003,1.4505,1.0137,117.45999999999997
2012-12-31,71.36593658686988,82.89473160000006,1.7298,0.7132,116.44339999999997
2013-01-04,71.40723517281761,82.55743530000002,0.0579,-0.4069,115.97859999999997
2013-01-07,71.73479519012906,83.64782840000007,0.4587,1.3208,116.84069999999997
2013-01-08,71.43325893930522,84.68773159999998,-0.4203,1.2432,118.50419999999997
2013-01-09,71.45588830146836,84.79511770000006,0.0317,0.1268,118.59929999999997
2013-01-10,71.5814812614738,85.38213870000004,0.1758,0.6923,119.11579999999996
2013-01-11,70.24238875546995,83.63283979999987,-1.8707,-2.0488,118.93769999999996
2013-01-14,72.9151992939639,86.36266970000004,3.8051,3.2641,118.39669999999997
2013-01-15,73.42832008101313,87.9646490999999,0.7037,1.8549,119.54789999999997
2013-01-16,72.89737867126043,87.95004150000007,-0.7231,-0.0166,120.25439999999996
2013-01-17,72.20916319447392,86.92666080000002,-0.9441,-1.1636,120.03489999999996
2013-01-18,73.41643966587746,88.19347179999995,1.6719,1.4573,119.82029999999996
2013-01-21,73.85375208968017,88.86106340000008,0.5957,0.757,119.98159999999996
2013-01-22,73.4577382518252,87.36610329999996,-0.5362,-1.6824,118.83539999999996
2013-01-23,73.75644583237866,87.5796023,0.4066,0.2444,118.67319999999997
2013-01-24,73.0577642755917,85.67062850000006,-0.9473,-2.1797,117.44079999999997
2013-01-25,72.74406474260515,85.54414139999999,-0.4294,-0.1476,117.72259999999997
2013-01-28,75.01237543243298,87.58176999999998,3.1182,2.382,116.98639999999996
2013-01-29,75.69153916435423,88.3954595,0.9054,0.9291,117.01009999999997
2013-01-30,76.05474042707264,88.46278550000002,0.4798,0.0762,116.60649999999997
2013-01-31,76.00297576112446,88.0208772,-0.0681,-0.4995,116.17509999999996
2013-02-01,77.59947726173404,88.46887910000002,2.1006,0.509,114.58349999999996
2013-02-04,77.73270763146954,87.90443789999986,0.1717,-0.638,113.77379999999997
2013-02-05,78.40168815041737,88.54821230000005,0.8606,0.7324,113.64559999999997
2013-02-06,78.5193608336657,89.0084598000001,0.1501,0.5198,114.01529999999997
2013-02-07,78.06762219148399,89.25601660000008,-0.5753,0.2781,114.86869999999996
2013-02-08,78.40281961852553,90.40288440000009,0.4294,1.2849,115.72419999999997
2013-02-18,77.43400005091607,91.24938640000013,-1.2357,0.9364,117.89629999999997
2013-02-19,75.96705164869047,89.96615430000008,-1.8944,-1.4063,118.38439999999997
2013-02-20,76.44877419573832,91.57977060000005,0.6341,1.7936,119.54389999999997
